file,exps,methods,reps,perct,c1,c2,normalized_perct
hg38,paired_reads,Input,Rep1,NA,,,NA
hg38,paired_reads,Input,Rep2,NA,,,NA
hg38,paired_reads,CLAP,Rep1,91.36019502,8515692,805317,96.32040952
hg38,paired_reads,CLAP,Rep2,94.33535025,9903193,594667,97.63176934
hg38,peaks,top10k,Rep1,74.42579281,193488.8233,66486.67176,87.8111528
hg38,peaks,top5k,Rep1,69.97643588,153411.5717,65821.61696,85.22835743
hg38,peaks,top2.5k,Rep1,65.85380067,126171.7988,65422.00065,82.68170299
hg38,peaks,top1k,Rep1,61.47350789,102998.4417,64550.87386,79.79787543
hg38,peaks,XIST,Rep1,NA,193.7755228,NA,NA
hg38,peaks,KCNQ1OT1,Rep1,97.34487419,36.96584577,1.008260289,98.91019867
hg38,peaks,top10k,Rep2,82.97173973,245511.7096,50386.27977,92.3443079
hg38,peaks,top5k,Rep2,79.61611376,195137.6832,49960.54376,90.6270148
hg38,peaks,top2.5k,Rep2,76.4411786,161263.8913,49700.79325,88.9286149
hg38,peaks,top1k,Rep2,72.95683152,132627.9955,49161.69127,86.97649827
hg38,peaks,XIST,Rep2,NA,238.5648561,NA,NA
hg38,peaks,KCNQ1OT1,Rep2,99.16367992,58.52400288,0.493575861,99.66047085
