file,exps,methods,perct,c1,c2,normalized_perct
mm10,paired_reads,Input,54.61764637,749341,622635,NA
mm10,paired_reads,CLAP,70.33392895,762443,321590,66.32958857
hg38,paired_reads,Input,28.77270512,1031576,2553683,NA
hg38,paired_reads,CLAP,92.84777263,,,96.97608943
hg38,peaks,top10k,78.69876627,,,90.07773035
hg38,peaks,top5k,74.79627482,,,87.92768612
hg38,peaks,top2.5k,71.14748963,,,85.80515894
hg38,peaks,top1k,67.21516971,,,83.38718685
hg38,peaks,XIST,NA,,,NA
hg38,peaks,KCNQ1OT1,98.25427706,,,99.28533476
mm10,peaks,top10k,96.41176508,454802.8071,16926.76526,95.7128654
mm10,peaks,top5k,96.20503896,393332.6695,15515.63381,95.46776697
mm10,peaks,top2.5k,96.19938486,357860.7569,14138.25062,95.46106623
mm10,peaks,top1k,96.36258975,332463.9827,12549.55789,95.65454364
mm10,peaks,XIST,NA,943.4049794,NA,NA
mm10,peaks,KCNQ1OT1,96.07170636,68.60213961,2.80508548,95.30979382
