file,fastq_pairs,uniquelymapped_properpairs_human_pairs,uniquelymapped_properpairs_mouse_pairs
SAFA_MinusTag_CLAP,5703926,321590,762443
SAFA_MinusTag_CLIP,4879320,768611,1021465
SAFA_MinusTag_Input,5893177,622635,749341
SAFA_PlusTag_CLAP,44467024,18418885,1399984
SAFA_PlusTag_CLAP_Rep1,23065288,8515692,805317
SAFA_PlusTag_CLAP_Rep2,21401736,9903193,594667
SAFA_PlusTag_CLIP,38511502,14796379,1314931
SAFA_PlusTag_CLIP_Rep1,20105697,7157677,730833
SAFA_PlusTag_CLIP_Rep2,18405805,7638702,584098
SAFA_PlusTag_Input,17863614,1031576,2553683
