condition,group,rpkmsum_HpeakHdata_Rep1,rpkmsum_HpeakHdata_Rep2,rpkmsum_MpeakHdata_Rep1,rpkmsum_MpeakHdata_Rep2,HoverMperct_Rep1,HoverMperct_Rep2,HoverMperct_mean
hg38_CLAP,top10k,193488.8233,245511.7096,66486.67176,50386.27977,74.42579281,82.97173973,78.69876627
hg38_CLAP,top5k,153411.5717,195137.6832,65821.61696,49960.54376,69.97643588,79.61611376,74.79627482
hg38_CLAP,top2.5k,126171.7988,161263.8913,65422.00065,49700.79325,65.85380067,76.4411786,71.14748963
hg38_CLAP,top1k,102998.4417,132627.9955,64550.87386,49161.69127,61.47350789,72.95683152,67.21516971
hg38_CLAP,XIST,193.7755228,238.5648561,0.025961193,0.553034701,99.98660423,99.76871881,99.87766152
hg38_CLAP,KCNQ1OT1,36.96584577,58.52400288,1.008260289,0.493575861,97.34487419,99.16367992,98.25427706
hg38_CLIP,top10k,115347.9137,146966.8153,62700.41389,47052.86099,64.78460946,75.74840764,70.26650855
hg38_CLIP,top5k,88378.55719,112740.6023,61160.48721,45359.79477,59.10065665,71.30949977,65.20507821
hg38_CLIP,top2.5k,69970.4482,89168.81656,59974.40925,44043.49085,53.84626185,66.9373711,60.39181648
hg38_CLIP,top1k,53747.64697,67808.95825,58337.52887,42086.82321,47.9525027,61.70296744,54.82773507
hg38_CLIP,XIST,197.0491251,292.9268631,0.812719747,1.408834315,99.58924888,99.52135119,99.55530003
hg38_CLIP,KCNQ1OT1,20.86139184,35.29412003,0.492446996,2.527008621,97.69387134,93.31852668,95.50619901
,,,,,,,,
,,,,,,,,
condition,group,rpkmsum_MpeakMdata,rpkmsum_HpeakMdata,MoverHperct,,,,
mm10_CLAP,top10k,454802.8071,16926.76526,96.41176508,,,,
mm10_CLAP,top5k,393332.6695,15515.63381,96.20503896,,,,
mm10_CLAP,top2.5k,357860.7569,14138.25062,96.19938486,,,,
mm10_CLAP,top1k,332463.9827,12549.55789,96.36258975,,,,
mm10_CLAP,XIST,943.4049794,77.387242,92.41890363,,,,
mm10_CLAP,KCNQ1OT1,68.60213961,2.80508548,96.07170636,,,,
mm10_CLIP,top10k,258542.9436,27819.36745,90.2852553,,,,
mm10_CLIP,top5k,245233.6782,21801.23456,91.83581115,,,,
mm10_CLIP,top2.5k,235892.9143,17757.63838,92.99917221,,,,
mm10_CLIP,top1k,224620.0706,13957.67145,94.14963386,,,,
mm10_CLIP,XIST,229.1722655,112.2865546,67.11563797,,,,
mm10_CLIP,KCNQ1OT1,26.21409884,11.25434915,69.96312963,,,,
