exp,group,sp,stn_perct_r1,stn_perct_r2,stn_perct_r12mean
CLAP,10K,hg38,93.83443284,95.05971886,94.44707585
CLAP,5K,hg38,93.3115529,94.63862708,93.97508999
CLAP,2.5K,hg38,92.58850791,94.06783812,93.32817302
CLAP,1K,hg38,91.25862087,93.01239624,92.13550855
CLAP,10K,mm10,83.57105748,NA,83.57105748
CLAP,5K,mm10,82.41234803,NA,82.41234803
CLAP,2.5K,mm10,81.5045801,NA,81.5045801
CLAP,1K,mm10,80.66348349,NA,80.66348349
CLIP,10K,hg38,77.67580929,82.08194059,79.87887494
CLIP,5K,hg38,78.15898504,82.35342068,80.25620286
CLIP,2.5K,hg38,78.30083715,82.35465739,80.32774727
CLIP,1K,hg38,77.39784757,81.36279316,79.38032037
CLIP,10K,mm10,79.92023534,NA,79.92023534
CLIP,5K,mm10,79.76882741,NA,79.76882741
CLIP,2.5K,mm10,79.66667293,NA,79.66667293
CLIP,1K,mm10,79.57054587,NA,79.57054587
