file,exps,methods,reps,perct,c1,c2,normalized_perct
hg38,paired_reads,Input,Rep1,NA,,,NA
hg38,paired_reads,Input,Rep2,NA,,,NA
hg38,paired_reads,CLIP,Rep1,90.73547476,7157677,730833,96.0387978
hg38,paired_reads,CLIP,Rep2,92.89660456,7638702,584098,97.00367724
hg38,peaks,top10k,Rep1,64.78460946,115347.9137,62700.41389,81.99536874
hg38,peaks,top5k,Rep1,59.10065665,88378.55719,61160.48721,78.15252357
hg38,peaks,top2.5k,Rep1,53.84626185,69970.4482,59974.40925,74.28059395
hg38,peaks,top1k,Rep1,47.9525027,53747.64697,58337.52887,69.5191404
hg38,peaks,XIST,Rep1,NA,197.0491251,NA,NA
hg38,peaks,KCNQ1OT1,Rep1,97.69387134,20.86139184,0.492446996,99.05544164
hg38,peaks,top10k,Rep2,75.74840764,146966.8153,47052.86099,88.54803705
hg38,peaks,top5k,Rep2,71.30949977,112740.6023,45359.79477,86.01952258
hg38,peaks,top2.5k,Rep2,66.9373711,89168.81656,44043.49085,83.36615193
hg38,peaks,top1k,Rep2,61.70296744,67808.95825,42086.82321,79.95378642
hg38,peaks,XIST,Rep2,NA,292.9268631,NA,NA
hg38,peaks,KCNQ1OT1,Rep2,93.31852668,35.29412003,2.527008621,97.18903222
