file,exps,methods,perct,c1,c2,normalized_perct
mm10,paired_reads,Input,54.61764637,749341,622635,NA
mm10,paired_reads,CLIP,57.06266103,1021465,768611,52.47733182
hg38,paired_reads,Input,28.77270512,1031576,2553683,NA
hg38,paired_reads,CLIP,91.81603966,,,96.52123752
hg38,peaks,top10k,70.26650855,,,85.2717029
hg38,peaks,top5k,65.20507821,,,82.08602308
hg38,peaks,top2.5k,60.39181648,,,78.82337294
hg38,peaks,top1k,54.82773507,,,74.73646341
hg38,peaks,XIST,NA,,,NA
hg38,peaks,KCNQ1OT1,95.50619901,,,98.12223693
mm10,peaks,top10k,90.2852553,258542.9436,27819.36745,88.53496588
mm10,peaks,top5k,91.83581115,245233.6782,21801.23456,90.33497725
mm10,peaks,top2.5k,92.99917221,235892.9143,17757.63838,91.69285532
mm10,peaks,top1k,94.14963386,224620.0706,13957.67145,93.04192561
mm10,peaks,XIST,NA,229.1722655,NA,NA
mm10,peaks,KCNQ1OT1,69.96312963,26.21409884,11.25434915,65.93298118
