condition,replicate,groups,rpmsum
CLIP_mm10_HNRNPU,r1,RBPlessCK,NA
CLIP_mm10_HNRNPU,r1,CK,0.049737147
CLIP_mm10_HNRNPU,r2,CK,0.217322741
CLIP_hg38_HNRNPU,r1,RBPlessCK,1.768298373
CLIP_hg38_HNRNPU,r2,RBPlessCK,3.571346982
CLIP_hg38_HNRNPU,r1,CK,NA
CLAP_mm10_HNRNPU,r1,RBPlessCK,NA
CLAP_mm10_HNRNPU,r1,CK,0.086710385
CLAP_mm10_HNRNPU,r2,CK,0.140175545
CLAP_hg38_HNRNPU,r1,RBPlessCK,6.152643182
CLAP_hg38_HNRNPU,r2,RBPlessCK,9.414927258
CLAP_hg38_HNRNPU,r1,CK,NA
RIP_mm10_HNRNPK,r1,RBPlessCK,360.7045857
RIP_mm10_HNRNPK,r2,RBPlessCK,396.6001942
RIP_mm10_HNRNPK,r1,CK,NA
RIP_mm10_HNRNPU,r1,RBPlessCK,435.959465
RIP_mm10_HNRNPU,r2,RBPlessCK,423.9827651
RIP_mm10_HNRNPU,r1,CK,NA
