file,exps,methods,reps,perct,c1,c2,normalized_perct
HNRNPK,paired_reads,Input,Rep1,46.52130967,14874858,17099431,NA
HNRNPK,paired_reads,Input,Rep2,41.84453161,10565317,14683662,NA
HNRNPK,paired_reads,RIP,Rep1,86.74478418,24371707,3724169,88.26690706
HNRNPK,paired_reads,RIP,Rep2,86.08480712,25102984,4057776,89.58098407
HNRNPU,paired_reads,Input,Rep1,36.04026652,10250427,18191169,NA
HNRNPU,paired_reads,Input,Rep2,28.23367756,7860600,19980619,NA
HNRNPU,paired_reads,RIP,Rep1,79.98325387,23709168,5933497,87.64100614
HNRNPU,paired_reads,RIP,Rep2,77.7564496,25770747,7372159,89.88425093
GFP,paired_reads,Input,Rep1,45.91668238,13703568,16140853,NA
GFP,paired_reads,Input,Rep2,47.3223201,12480863,13893294,NA
GFP,paired_reads,RIP,Rep1,49.19153635,12804369,13225249,53.27918408
GFP,paired_reads,RIP,Rep2,60.96092613,14848546,9508935,63.48034755
HNRNPK,peaks,top10k,Rep1,84.49985799,121983.4841,22375.91128,86.23887473
HNRNPK,peaks,top5k,Rep1,81.433303,86617.69871,19748.7331,83.44897879
HNRNPK,peaks,top2.5k,Rep1,78.10174174,64450.10543,18070.59641,80.39201602
HNRNPK,peaks,top1k,Rep1,73.93284306,47511.92552,16751.70016,76.5280953
HNRNPK,peaks,XIST,Rep1,55.71859864,1798.457652,1429.293397,59.1246812
HNRNPK,peaks,KCNQ1OT1,Rep1,98.31585126,656.6221002,11.2479246,98.53173582
HNRNPU,peaks,top10k,Rep1,86.82469009,85603.36777,12989.97899,92.12289685
HNRNPU,peaks,top5k,Rep1,85.7318164,53910.58009,8972.235598,91.42610374
HNRNPU,peaks,top2.5k,Rep1,84.21318449,34447.14387,6457.548285,90.4460016
HNRNPU,peaks,top1k,Rep1,81.56684828,20465.01293,4624.853065,88.70432796
HNRNPU,peaks,XIST,Rep1,55.71909235,2479.068152,1970.157504,69.06983444
HNRNPU,peaks,KCNQ1OT1,Rep1,96.61310609,714.3809796,25.04352344,98.0629018
HNRNPK,peaks,top10k,Rep2,83.23477866,116276.7379,23420.56143,87.34172872
HNRNPK,peaks,top5k,Rep2,79.87220437,83062.88691,20931.84763,84.65097896
HNRNPK,peaks,top2.5k,Rep2,76.34186349,62393.49419,19335.57469,81.76748533
HNRNPK,peaks,top1k,Rep2,72.04884854,46532.93926,18052.32504,78.17757511
HNRNPK,peaks,XIST,Rep2,61.67874875,2339.94151,1453.814941,69.10630023
HNRNPK,peaks,KCNQ1OT1,Rep2,98.46334064,709.7795035,11.0771106,98.88954347
HNRNPU,peaks,top10k,Rep2,85.33616203,82434.63332,14165.25043,93.66784095
HNRNPU,peaks,top5k,Rep2,84.14111208,51887.14991,9779.672202,93.09686603
HNRNPU,peaks,top2.5k,Rep2,82.53985616,33243.59258,7032.213711,92.31729857
HNRNPU,peaks,top1k,Rep2,79.69719851,19828.26913,5051.236675,90.8908122
HNRNPU,peaks,XIST,Rep2,55.65819965,2657.135147,2116.887664,76.13693115
HNRNPU,peaks,KCNQ1OT1,Rep2,95.53164664,683.2253731,31.95686976,98.19312509
