file,exps,methods,perct,normalized_perct
HNRNPK,paired_reads,Input,44.18292064,NA
HNRNPK,paired_reads,RIP,86.41479565,88.92394557
HNRNPU,paired_reads,Input,32.13697204,NA
HNRNPU,paired_reads,RIP,78.86985173,88.76262853
GFP,paired_reads,Input,46.61950124,NA
GFP,paired_reads,RIP,55.07623124,58.37976581
HNRNPK,peaks,top10k,83.86731833,86.79030172
HNRNPK,peaks,top5k,80.65275369,84.04997887
HNRNPK,peaks,top2.5k,77.22180261,81.07975068
HNRNPK,peaks,top1k,72.9908458,77.3528352
HNRNPK,peaks,XIST,58.6986737,64.11549071
HNRNPK,peaks,KCNQ1OT1,98.38959595,98.71063964
HNRNPU,peaks,top10k,86.08042606,92.8953689
HNRNPU,peaks,top5k,84.93646424,92.26148488
HNRNPU,peaks,top2.5k,83.37652033,91.38165009
HNRNPU,peaks,top1k,80.6320234,89.79757008
HNRNPU,peaks,XIST,55.688646,72.6033828
HNRNPU,peaks,KCNQ1OT1,96.07237637,98.12801345
