sample,fastqreads,human_unimap,mouse_unimap,file
hm_HNRNPK_flag_merg,62978874,7781945,49474691,
hm_HNRNPK_flag_r1,30746853,3724169,24371707,G10_293T_flagtagged_HNRNPK_RMCE_flag_r1_rip_7_S7_R1_001.fastq
hm_HNRNPK_flag_r2,32232021,4057776,25102984,G10_293T_flagtagged_HNRNPK_RMCE_flag_r2_rip_8_S8_R1_001.fastq
hm_HNRNPK_input_merg,64607427,31783093,25440175,
hm_HNRNPK_input_r1,36172301,17099431,14874858,G10_293T_flagtagged_HNRNPK_RMCE_input_r1_rip_7_S13_R1_001.fastq
hm_HNRNPK_input_r2,28435126,14683662,10565317,G10_293T_flagtagged_HNRNPK_RMCE_input_r2_rip_8_S14_R1_001.fastq
hm_HNRNPU_flag_merg,69381631,13305656,49479915,
hm_HNRNPU_flag_r1,32401416,5933497,23709168,G10_293T_flagtagged_HNRNPU_RMCE_flag_r1_rip_9_S9_R1_001.fastq
hm_HNRNPU_flag_r2,36980215,7372159,25770747,G10_293T_flagtagged_HNRNPU_RMCE_flag_r2_rip_10_S10_R1_001.fastq
hm_HNRNPU_input_merg,62710013,38171788,18111027,
hm_HNRNPU_input_r1,31859257,18191169,10250427,G10_293T_flagtagged_HNRNPU_RMCE_input_r1_rip_9_S15_R1_001.fastq
hm_HNRNPU_input_r2,30850756,19980619,7860600,G10_293T_flagtagged_HNRNPU_RMCE_input_r2_rip_10_S16_R1_001.fastq
hm_GFP_flag_merg,60319397,22734184,27652915,
hm_GFP_flag_r1,31536852,13225249,12804369,G10_293T_flagtagged_GFP_RMCE_flag_r1_rip_5_S5_R1_001.fastq
hm_GFP_flag_r2,28782545,9508935,14848546,G10_293T_flagtagged_GFP_RMCE_flag_r2_rip_6_S6_R1_001.fastq
hm_GFP_input_merg,63733872,30034147,26184431,
hm_GFP_input_r1,33850710,16140853,13703568,G10_293T_flagtagged_GFP_RMCE_input_r1_rip_5_S11_R1_001.fastq
hm_GFP_input_r2,29883162,13893294,12480863,G10_293T_flagtagged_GFP_RMCE_input_r2_rip_6_S12_R1_001.fastq
h_HNRNPK_merg,54031188,,,
h_HNRNPK_r1,28438612,,,hnrnpk_hek293t_rip_1_S10_R1_001.fastq
h_HNRNPK_r2,25592576,,,hnrnpk_hek293t_rip_2_S14_R1_001.fastq
h_HNRNPU_merg,69648708,,,
h_HNRNPU_r1,34022770,,,G10_293T_hnrnpu_r1_rip_1_S1_R1_001.fastq
h_HNRNPU_r2,35625938,,,G10_293T_hnrnpu_r2_rip_2_S2_R1_001.fastq
h_IGG_merg,35715333,,,
h_IGG_r1,17400122,,,igg_hek293t_rip_1_S13_R1_001.fastq
h_IGG_r2,18315211,,,igg_hek293t_rip_2_S17_R1_001.fastq
