condition,group,rpkmsum_mouse_Rep1,rpkmsum_mouse_Rep2,rpkmsum_human_Rep1,rpkmsum_human_Rep2,MoverHperct_Rep1,MoverHperct_Rep2,MoverHperct_mean
HNRNPK,top10k,121983.4841,116276.7379,22375.91128,23420.56143,84.49985799,83.23477866,83.86731833
HNRNPK,top5k,86617.69871,83062.88691,19748.7331,20931.84763,81.433303,79.87220437,80.65275369
HNRNPK,top2.5k,64450.10543,62393.49419,18070.59641,19335.57469,78.10174174,76.34186349,77.22180261
HNRNPK,top1k,47511.92552,46532.93926,16751.70016,18052.32504,73.93284306,72.04884854,72.9908458
HNRNPK,XIST,1798.457652,2339.94151,1429.293397,1453.814941,55.71859864,61.67874875,58.6986737
HNRNPK,KCNQ1OT1,656.6221002,709.7795035,11.2479246,11.0771106,98.31585126,98.46334064,98.38959595
HNRNPU,top10k,85603.36777,82434.63332,12989.97899,14165.25043,86.82469009,85.33616203,86.08042606
HNRNPU,top5k,53910.58009,51887.14991,8972.235598,9779.672202,85.7318164,84.14111208,84.93646424
HNRNPU,top2.5k,34447.14387,33243.59258,6457.548285,7032.213711,84.21318449,82.53985616,83.37652033
HNRNPU,top1k,20465.01293,19828.26913,4624.853065,5051.236675,81.56684828,79.69719851,80.6320234
HNRNPU,XIST,2479.068152,2657.135147,1970.157504,2116.887664,55.71909235,55.65819965,55.688646
HNRNPU,KCNQ1OT1,714.3809796,683.2253731,25.04352344,31.95686976,96.61310609,95.53164664,96.07237637
