condition,replicate,groups,rpmsum
CLIP_mm10_HNRNPU,r1,RBPlessCK,NA
CLIP_mm10_HNRNPU,r1,CK,0.44763432
CLIP_mm10_HNRNPU,r2,CK,0.760629595
CLIP_hg38_HNRNPU,r1,RBPlessCK,546.2995622
CLIP_hg38_HNRNPU,r2,RBPlessCK,1183.090869
CLIP_hg38_HNRNPU,r1,CK,NA
CLAP_mm10_HNRNPU,r1,RBPlessCK,NA
CLAP_mm10_HNRNPU,r1,CK,0.043355192
CLAP_mm10_HNRNPU,r2,CK,0.186900726
CLAP_hg38_HNRNPU,r1,RBPlessCK,762.6473731
CLAP_hg38_HNRNPU,r2,RBPlessCK,1060.987197
CLAP_hg38_HNRNPU,r1,CK,NA
RIP_mm10_HNRNPK,r1,RBPlessCK,2384.285543
RIP_mm10_HNRNPK,r2,RBPlessCK,3471.328884
RIP_mm10_HNRNPK,r1,CK,NA
RIP_mm10_HNRNPU,r1,RBPlessCK,6587.438827
RIP_mm10_HNRNPU,r2,RBPlessCK,6330.435656
RIP_mm10_HNRNPU,r1,CK,NA
