Source,Target,Weight,Color
RBM15A,SAFB,0.673569484,Positive
RBM15A,YTHDC1,0.767955938,Positive
SAFB,YTHDC1,0.788277811,Positive
HNRNPK,MATRIN3,0.232540255,Positive
ALYREF,MATRIN3,0.098690216,Positive
HNRNPK,RYBP,0.649307197,Positive
MATRIN3,RYBP,0.011725992,Positive
HNRNPK,SPEN,0.149429033,Positive
RBM15A,SPEN,0.017178576,Positive
SAFB,SPEN,0.226730508,Positive
MATRIN3,SPEN,0.089813928,Positive
RYBP,SPEN,0.034555195,Positive
HNRNPK,HNRNPC,0.065085043,Positive
ALYREF,HNRNPC,0.157835996,Positive
MATRIN3,HNRNPC,0.122266276,Positive
SPEN,HNRNPC,0.007396532,Positive
HNRNPK,HNRNPM,0.028312024,Positive
RBM15A,HNRNPM,0.029718142,Positive
SAFB,HNRNPM,0.150972975,Positive
ALYREF,HNRNPM,0.158442295,Positive
MATRIN3,HNRNPM,0.11674591,Positive
SPEN,HNRNPM,0.571437815,Positive
HNRNPC,HNRNPM,0.210086096,Positive
HNRNPK,HNRNPU,0.704662673,Positive
MATRIN3,HNRNPU,0.022628603,Positive
RYBP,HNRNPU,0.548099542,Positive
HNRNPC,HNRNPU,0.134898173,Positive
HNRNPM,HNRNPU,0.006333569,Positive
HNRNPK,LBR,0.035123479,Positive
RBM15A,LBR,0.297353306,Positive
SAFB,LBR,0.221259244,Positive
YTHDC1,LBR,0.307338084,Positive
ALYREF,LBR,0.222489205,Positive
MATRIN3,LBR,0.068120564,Positive
RYBP,LBR,0.068196123,Positive
SPEN,LBR,0.063533374,Positive
HNRNPC,LBR,0.02861385,Positive
HNRNPM,LBR,0.199124502,Positive
HNRNPK,PABPN1,0.22609388,Positive
ALYREF,PABPN1,0.039274926,Positive
RYBP,PABPN1,0.179688804,Positive
SPEN,PABPN1,0.040864012,Positive
HNRNPM,PABPN1,0.058560384,Positive
HNRNPU,PABPN1,0.420619442,Positive
LBR,PABPN1,0.041984619,Positive
HNRNPK,PTBP1,0.039685929,Positive
ALYREF,PTBP1,0.055291509,Positive
MATRIN3,PTBP1,0.304334873,Positive
SPEN,PTBP1,0.013665972,Positive
HNRNPC,PTBP1,0.120067793,Positive
HNRNPM,PTBP1,0.091056752,Positive
LBR,PTBP1,0.423749949,Positive
RBM15A,SRSF1,0.715941773,Positive
SAFB,SRSF1,0.816427955,Positive
YTHDC1,SRSF1,0.754519105,Positive
SPEN,SRSF1,0.235866038,Positive
HNRNPM,SRSF1,0.179442671,Positive
LBR,SRSF1,0.250078098,Positive
RBM15A,NUDT21,0.515824363,Positive
SAFB,NUDT21,0.641652458,Positive
YTHDC1,NUDT21,0.620764926,Positive
SPEN,NUDT21,0.022176066,Positive
HNRNPM,NUDT21,0.050861767,Positive
LBR,NUDT21,0.135042275,Positive
SRSF1,NUDT21,0.740818206,Positive
HNRNPK,SUPT16H,0.065399878,Positive
RBM15A,SUPT16H,0.400734339,Positive
SAFB,SUPT16H,0.328783128,Positive
YTHDC1,SUPT16H,0.366796437,Positive
ALYREF,SUPT16H,0.180804919,Positive
MATRIN3,SUPT16H,0.026059611,Positive
RYBP,SUPT16H,0.083607967,Positive
SPEN,SUPT16H,0.068340916,Positive
HNRNPM,SUPT16H,0.141886412,Positive
HNRNPU,SUPT16H,0.034663193,Positive
LBR,SUPT16H,0.32939095,Positive
PABPN1,SUPT16H,0.124028099,Positive
SRSF1,SUPT16H,0.368670308,Positive
NUDT21,SUPT16H,0.156850744,Positive
RBM15A,U2AF35,0.561115155,Positive
SAFB,U2AF35,0.485500496,Positive
YTHDC1,U2AF35,0.512427605,Positive
ALYREF,U2AF35,0.215183425,Positive
MATRIN3,U2AF35,0.068034524,Positive
SPEN,U2AF35,0.267611219,Positive
HNRNPC,U2AF35,0.042858398,Positive
HNRNPM,U2AF35,0.322612562,Positive
LBR,U2AF35,0.358644195,Positive
PABPN1,U2AF35,0.041598661,Positive
PTBP1,U2AF35,0.033062709,Positive
SRSF1,U2AF35,0.627923869,Positive
NUDT21,U2AF35,0.458165392,Positive
SUPT16H,U2AF35,0.395463467,Positive
RBM15A,U2AF65,0.41513217,Positive
SAFB,U2AF65,0.387756722,Positive
YTHDC1,U2AF65,0.397642968,Positive
ALYREF,U2AF65,0.148308678,Positive
MATRIN3,U2AF65,0.078440952,Positive
SPEN,U2AF65,0.104092341,Positive
HNRNPC,U2AF65,0.086217937,Positive
HNRNPM,U2AF65,0.175398575,Positive
LBR,U2AF65,0.319014641,Positive
PABPN1,U2AF65,0.002972701,Positive
PTBP1,U2AF65,0.083291567,Positive
SRSF1,U2AF65,0.455319099,Positive
NUDT21,U2AF65,0.34172433,Positive
SUPT16H,U2AF65,0.363933505,Positive
U2AF35,U2AF65,0.549022822,Positive
HNRNPK,XRN2,0.437769301,Positive
RBM15A,XRN2,0.060960423,Positive
SAFB,XRN2,0.28030929,Positive
YTHDC1,XRN2,0.036805303,Positive
MATRIN3,XRN2,0.073207799,Positive
RYBP,XRN2,0.251573254,Positive
SPEN,XRN2,0.539802259,Positive
HNRNPM,XRN2,0.349897555,Positive
HNRNPU,XRN2,0.249321989,Positive
LBR,XRN2,0.111448451,Positive
PABPN1,XRN2,0.140053387,Positive
SRSF1,XRN2,0.290247212,Positive
NUDT21,XRN2,0.271563406,Positive
SUPT16H,XRN2,0.139455684,Positive
U2AF35,XRN2,0.234908175,Positive
U2AF65,XRN2,0.167643091,Positive
HNRNPK,RING1B,0.577663217,Positive
MATRIN3,RING1B,0.001558068,Positive
RYBP,RING1B,0.92780159,Positive
SPEN,RING1B,0.025037892,Positive
HNRNPU,RING1B,0.443337343,Positive
LBR,RING1B,0.032759609,Positive
PABPN1,RING1B,0.093606672,Positive
SUPT16H,RING1B,0.031800614,Positive
XRN2,RING1B,0.197077929,Positive
HNRNPK,TIA1,0.240921183,Positive
RBM15A,TIA1,0.25179856,Positive
SAFB,TIA1,0.517958264,Positive
YTHDC1,TIA1,0.227990635,Positive
MATRIN3,TIA1,0.065865027,Positive
RYBP,TIA1,0.08881652,Positive
SPEN,TIA1,0.799729103,Positive
HNRNPM,TIA1,0.482551239,Positive
HNRNPU,TIA1,0.096754568,Positive
LBR,TIA1,0.169260863,Positive
PABPN1,TIA1,0.075141414,Positive
SRSF1,TIA1,0.477979346,Positive
NUDT21,TIA1,0.223724057,Positive
SUPT16H,TIA1,0.217236031,Positive
U2AF35,TIA1,0.374441643,Positive
U2AF65,TIA1,0.248277039,Positive
XRN2,TIA1,0.653905348,Positive
RING1B,TIA1,0.048084712,Positive
RBM15A,CIZ1,0.115533471,Positive
SAFB,CIZ1,0.092833099,Positive
YTHDC1,CIZ1,0.11571359,Positive
ALYREF,CIZ1,0.095683674,Positive
SPEN,CIZ1,0.168896218,Positive
HNRNPM,CIZ1,0.15239805,Positive
LBR,CIZ1,0.095952019,Positive
PABPN1,CIZ1,0.015108015,Positive
SRSF1,CIZ1,0.159733762,Positive
NUDT21,CIZ1,0.087025301,Positive
SUPT16H,CIZ1,0.059397333,Positive
U2AF35,CIZ1,0.227778522,Positive
U2AF65,CIZ1,0.077672664,Positive
XRN2,CIZ1,0.071580855,Positive
TIA1,CIZ1,0.122499828,Positive
HNRNPK,HNRNPL,0.674924948,Positive
MATRIN3,HNRNPL,0.098927766,Positive
RYBP,HNRNPL,0.462968744,Positive
SPEN,HNRNPL,0.07912141,Positive
HNRNPU,HNRNPL,0.714085215,Positive
PABPN1,HNRNPL,0.313870861,Positive
SUPT16H,HNRNPL,0.16379923,Positive
XRN2,HNRNPL,0.261380037,Positive
RING1B,HNRNPL,0.373386048,Positive
TIA1,HNRNPL,0.160837761,Positive
HNRNPK,KHDRBS1,0.020202081,Positive
RBM15A,KHDRBS1,0.338347278,Positive
SAFB,KHDRBS1,0.392859451,Positive
YTHDC1,KHDRBS1,0.372921643,Positive
SPEN,KHDRBS1,0.155048364,Positive
HNRNPM,KHDRBS1,0.091131359,Positive
LBR,KHDRBS1,0.122129162,Positive
PABPN1,KHDRBS1,0.084735977,Positive
SRSF1,KHDRBS1,0.408867501,Positive
NUDT21,KHDRBS1,0.434857338,Positive
SUPT16H,KHDRBS1,0.134694054,Positive
U2AF35,KHDRBS1,0.333225796,Positive
U2AF65,KHDRBS1,0.163980532,Positive
XRN2,KHDRBS1,0.312633409,Positive
TIA1,KHDRBS1,0.262650544,Positive
CIZ1,KHDRBS1,0.19322331,Positive
HNRNPK,SFPQ,0.072134345,Positive
RBM15A,SFPQ,0.029437159,Positive
SAFB,SFPQ,0.220550809,Positive
MATRIN3,SFPQ,0.054234183,Positive
RYBP,SFPQ,0.004605912,Positive
SPEN,SFPQ,0.926424053,Positive
HNRNPC,SFPQ,0.0018597,Positive
HNRNPM,SFPQ,0.587735431,Positive
LBR,SFPQ,0.064478667,Positive
PABPN1,SFPQ,0.036722602,Positive
PTBP1,SFPQ,0.00649813,Positive
SRSF1,SFPQ,0.229659283,Positive
NUDT21,SFPQ,0.031467122,Positive
SUPT16H,SFPQ,0.047640007,Positive
U2AF35,SFPQ,0.25961665,Positive
U2AF65,SFPQ,0.101224172,Positive
XRN2,SFPQ,0.508310058,Positive
TIA1,SFPQ,0.753702598,Positive
CIZ1,SFPQ,0.181903454,Positive
HNRNPL,SFPQ,0.026838179,Positive
KHDRBS1,SFPQ,0.162944636,Positive
RBM15A,NXF1,0.368188044,Positive
SAFB,NXF1,0.542030262,Positive
YTHDC1,NXF1,0.478731838,Positive
SPEN,NXF1,0.063927014,Positive
HNRNPM,NXF1,0.061038876,Positive
LBR,NXF1,0.051395133,Positive
SRSF1,NXF1,0.660714098,Positive
NUDT21,NXF1,0.785191331,Positive
SUPT16H,NXF1,0.087945328,Positive
U2AF35,NXF1,0.351513636,Positive
U2AF65,NXF1,0.257992813,Positive
XRN2,NXF1,0.298241795,Positive
TIA1,NXF1,0.208876732,Positive
CIZ1,NXF1,0.090191264,Positive
KHDRBS1,NXF1,0.314491007,Positive
SFPQ,NXF1,0.061448014,Positive
