Source,Target,Weight,Color
HNRNPK,SAFB,0.266509142,Positive
RBM15A,SAFB,0.327964618,Positive
RBM15A,YTHDC1,0.403426263,Positive
SAFB,YTHDC1,0.684090837,Positive
HNRNPK,ALYREF,0.228108967,Positive
RBM15A,ALYREF,0.063094054,Positive
SAFB,ALYREF,0.081950018,Positive
YTHDC1,ALYREF,0.044505309,Positive
HNRNPK,MATRIN3,0.389154092,Positive
RBM15A,MATRIN3,0.268780063,Positive
SAFB,MATRIN3,0.246658781,Positive
ALYREF,MATRIN3,0.203406533,Positive
HNRNPK,RYBP,0.515649607,Positive
RBM15A,RYBP,0.03603656,Positive
SAFB,RYBP,0.178904526,Positive
YTHDC1,RYBP,0.137290844,Positive
ALYREF,RYBP,0.154505297,Positive
MATRIN3,RYBP,0.101010638,Positive
HNRNPK,SPEN,0.171750793,Positive
RBM15A,SPEN,0.507489294,Positive
SAFB,SPEN,0.39499592,Positive
YTHDC1,SPEN,0.130744096,Positive
ALYREF,SPEN,0.159824878,Positive
MATRIN3,SPEN,0.588728412,Positive
RYBP,SPEN,0.08590578,Positive
HNRNPK,HNRNPC,0.262504321,Positive
RBM15A,HNRNPC,0.14902546,Positive
SAFB,HNRNPC,0.261429045,Positive
YTHDC1,HNRNPC,0.064101483,Positive
ALYREF,HNRNPC,0.158356191,Positive
MATRIN3,HNRNPC,0.260375327,Positive
RYBP,HNRNPC,0.084866511,Positive
SPEN,HNRNPC,0.285417265,Positive
HNRNPK,HNRNPM,0.268771017,Positive
RBM15A,HNRNPM,0.370768735,Positive
SAFB,HNRNPM,0.350688028,Positive
YTHDC1,HNRNPM,0.052449777,Positive
ALYREF,HNRNPM,0.244761562,Positive
MATRIN3,HNRNPM,0.719571483,Positive
RYBP,HNRNPM,0.120823439,Positive
SPEN,HNRNPM,0.81050012,Positive
HNRNPC,HNRNPM,0.332716399,Positive
HNRNPK,HNRNPU,0.782090455,Positive
SAFB,HNRNPU,0.250241145,Positive
ALYREF,HNRNPU,0.21201489,Positive
MATRIN3,HNRNPU,0.250300558,Positive
RYBP,HNRNPU,0.309278494,Positive
SPEN,HNRNPU,0.105610657,Positive
HNRNPC,HNRNPU,0.175994116,Positive
HNRNPM,HNRNPU,0.206723282,Positive
HNRNPK,LBR,0.562688674,Positive
RBM15A,LBR,0.143645343,Positive
SAFB,LBR,0.323797307,Positive
YTHDC1,LBR,0.136829034,Positive
ALYREF,LBR,0.477173262,Positive
MATRIN3,LBR,0.409699367,Positive
RYBP,LBR,0.27761237,Positive
SPEN,LBR,0.309677452,Positive
HNRNPC,LBR,0.269756127,Positive
HNRNPM,LBR,0.382824537,Positive
HNRNPU,LBR,0.574468868,Positive
HNRNPK,PABPN1,0.326339226,Positive
RBM15A,PABPN1,0.068944321,Positive
SAFB,PABPN1,0.294826678,Positive
YTHDC1,PABPN1,0.190074876,Positive
ALYREF,PABPN1,0.186359764,Positive
MATRIN3,PABPN1,0.044353632,Positive
RYBP,PABPN1,0.151176916,Positive
SPEN,PABPN1,0.163318116,Positive
HNRNPC,PABPN1,0.07019888,Positive
HNRNPM,PABPN1,0.156621966,Positive
HNRNPU,PABPN1,0.298199488,Positive
LBR,PABPN1,0.354862538,Positive
HNRNPK,PTBP1,0.389241301,Positive
RBM15A,PTBP1,0.093871381,Positive
SAFB,PTBP1,0.100598258,Positive
ALYREF,PTBP1,0.294092904,Positive
MATRIN3,PTBP1,0.554786988,Positive
RYBP,PTBP1,0.149200638,Positive
SPEN,PTBP1,0.253958811,Positive
HNRNPC,PTBP1,0.316711699,Positive
HNRNPM,PTBP1,0.36410074,Positive
HNRNPU,PTBP1,0.297092793,Positive
LBR,PTBP1,0.446388242,Positive
PABPN1,PTBP1,0.141503417,Positive
HNRNPK,SRSF1,0.086613621,Positive
RBM15A,SRSF1,0.588379503,Positive
SAFB,SRSF1,0.623326505,Positive
YTHDC1,SRSF1,0.663724873,Positive
ALYREF,SRSF1,0.15679098,Positive
MATRIN3,SRSF1,0.115054307,Positive
RYBP,SRSF1,0.186629625,Positive
SPEN,SRSF1,0.282201232,Positive
HNRNPC,SRSF1,0.142117035,Positive
HNRNPM,SRSF1,0.197168362,Positive
HNRNPU,SRSF1,0.054761762,Positive
LBR,SRSF1,0.254911113,Positive
PABPN1,SRSF1,0.281061415,Positive
PTBP1,SRSF1,0.088740598,Positive
HNRNPK,NUDT21,0.038057589,Positive
RBM15A,NUDT21,0.690891541,Positive
SAFB,NUDT21,0.576685556,Positive
YTHDC1,NUDT21,0.651852888,Positive
ALYREF,NUDT21,0.127908334,Positive
MATRIN3,NUDT21,0.174676411,Positive
RYBP,NUDT21,0.147592542,Positive
SPEN,NUDT21,0.40263275,Positive
HNRNPC,NUDT21,0.153327174,Positive
HNRNPM,NUDT21,0.298959358,Positive
LBR,NUDT21,0.189354931,Positive
PABPN1,NUDT21,0.168612956,Positive
PTBP1,NUDT21,0.065071408,Positive
SRSF1,NUDT21,0.687118827,Positive
HNRNPK,SUPT16H,0.079774648,Positive
RBM15A,SUPT16H,0.344986706,Positive
SAFB,SUPT16H,0.31250979,Positive
YTHDC1,SUPT16H,0.421899477,Positive
ALYREF,SUPT16H,0.308833661,Positive
MATRIN3,SUPT16H,0.05262818,Positive
RYBP,SUPT16H,0.141292083,Positive
SPEN,SUPT16H,0.163281349,Positive
