Source,Target,Weight,Color
RBM15A,SAFB,0.237513911,Positive
RBM15A,YTHDC1,0.80976405,Positive
SAFB,YTHDC1,0.665992205,Positive
RBM15A,ALYREF,0.047702133,Positive
SAFB,ALYREF,0.408972433,Positive
YTHDC1,ALYREF,0.412597963,Positive
HNRNPK,RYBP,0.721497322,Positive
RBM15A,SPEN,0.9806349,Positive
SAFB,SPEN,0.144013258,Positive
YTHDC1,SPEN,0.752775195,Positive
RBM15A,HNRNPC,0.94383689,Positive
SAFB,HNRNPC,0.138696827,Positive
YTHDC1,HNRNPC,0.686947838,Positive
SPEN,HNRNPC,0.959259352,Positive
HNRNPK,HNRNPU,0.186358129,Positive
RYBP,HNRNPU,0.065568119,Positive
HNRNPM,HNRNPU,0.201797455,Positive
RBM15A,LBR,0.674137666,Positive
SAFB,LBR,0.78150979,Positive
YTHDC1,LBR,0.894499871,Positive
ALYREF,LBR,0.319647415,Positive
RYBP,LBR,0.059457281,Positive
SPEN,LBR,0.593355572,Positive
HNRNPC,LBR,0.527387645,Positive
SAFB,PABPN1,0.820598588,Positive
YTHDC1,PABPN1,0.517551204,Positive
ALYREF,PABPN1,0.62662716,Positive
LBR,PABPN1,0.526851456,Positive
SAFB,PTBP1,0.068331441,Positive
LBR,PTBP1,0.061861235,Positive
PABPN1,PTBP1,0.013155809,Positive
RBM15A,SRSF1,0.985018516,Positive
SAFB,SRSF1,0.292142575,Positive
YTHDC1,SRSF1,0.849489288,Positive
ALYREF,SRSF1,0.138937067,Positive
SPEN,SRSF1,0.972561011,Positive
HNRNPC,SRSF1,0.930542836,Positive
LBR,SRSF1,0.699036176,Positive
PABPN1,SRSF1,0.063311668,Positive
RBM15A,NUDT21,0.097832998,Positive
SAFB,NUDT21,0.961247557,Positive
YTHDC1,NUDT21,0.562980122,Positive
ALYREF,NUDT21,0.43201794,Positive
SPEN,NUDT21,0.0068622,Positive
LBR,NUDT21,0.72018959,Positive
PABPN1,NUDT21,0.785093083,Positive
PTBP1,NUDT21,0.074287681,Positive
SRSF1,NUDT21,0.161506097,Positive
RBM15A,SUPT16H,0.298758645,Positive
SAFB,SUPT16H,0.573984966,Positive
YTHDC1,SUPT16H,0.608270429,Positive
ALYREF,SUPT16H,0.834308986,Positive
SPEN,SUPT16H,0.180578844,Positive
HNRNPC,SUPT16H,0.124526273,Positive
LBR,SUPT16H,0.571511165,Positive
PABPN1,SUPT16H,0.551387857,Positive
PTBP1,SUPT16H,0.010022342,Positive
SRSF1,SUPT16H,0.373576437,Positive
NUDT21,SUPT16H,0.547995871,Positive
RBM15A,U2AF35,0.36664342,Positive
SAFB,U2AF35,0.666083564,Positive
YTHDC1,U2AF35,0.733633791,Positive
ALYREF,U2AF35,0.67691234,Positive
SPEN,U2AF35,0.2750063,Positive
HNRNPC,U2AF35,0.180273266,Positive
LBR,U2AF35,0.723918379,Positive
