"proset","perct","count"
"ALYREF_RYBP",0.35499963849324,4910
"ALYREF_LBR",0.441327452823368,6104
"ALYREF_SUPT16H",0.578916925746511,8007
"ALYREF_U2AF35",0.327742028775938,4533
"ALYREF_U2AF65",0.24264333743041,3356
"ALYREF_RING1B",0.333815342346902,4617
"ALYREF_NXF1",0.5797122406189,8018
"ALYREF_HNRNPK",0.0754826115248355,1044
"ALYREF_MATRIN3",0.0425854963487817,589
"ALYREF_SPEN",0.160147494758152,2215
"ALYREF_HNRNPM",0.0852432940495987,1179
"ALYREF_PTBP1",0.143084375677825,1979
"ALYREF_XRN2",0.204757428963922,2832
"ALYREF_TIA1",0.200274745137734,2770
"ALYREF_SFPQ",0.199551731617381,2760
"ALYREF_RBM15A",0.381028125225942,5270
"ALYREF_SAFB",0.126021256597498,1743
"ALYREF_YTHDC1",0.384064782011424,5312
"ALYREF_SRSF1",0.500180753380088,6918
"ALYREF_NUDT21",0.349215530330417,4830
"ALYREF_KHDRBS1",0.0910274022124214,1259
"ALYREF_HNRNPU",0.0439592220374521,608
"ALYREF_HNRNPL",0.0571180681078736,790
"ALYREF_HNRNPC",0.0514062612970863,711
"ALYREF_CIZ1",0.0871954305545514,1206
"ALYREF_PABPN1",0.497939411466994,6887
"RYBP_LBR",0.373074976502061,5160
"RYBP_SUPT16H",0.370544429180826,5125
"RYBP_U2AF35",0.298821487961825,4133
"RYBP_U2AF65",0.220302219651507,3047
"RYBP_RING1B",0.357024076350228,4938
"RYBP_NXF1",0.330417178801244,4570
"RYBP_HNRNPK",0.136215747234473,1884
"RYBP_MATRIN3",0.0772178439736823,1068
"RYBP_SPEN",0.227749258911142,3150
"RYBP_HNRNPM",0.148434675728436,2053
"RYBP_PTBP1",0.125009037669004,1729
"RYBP_XRN2",0.281252259417251,3890
"RYBP_TIA1",0.225363314293977,3117
"RYBP_SFPQ",0.244378569879257,3380
"RYBP_RBM15A",0.251174896970573,3474
"RYBP_SAFB",0.136938760754826,1894
"RYBP_YTHDC1",0.212999783095944,2946
"RYBP_SRSF1",0.357819391222616,4949
"RYBP_NUDT21",0.261875497071795,3622
"RYBP_KHDRBS1",0.107656713180536,1489
"RYBP_HNRNPU",0.104981563155231,1452
"RYBP_HNRNPL",0.103752440170631,1435
"RYBP_HNRNPC",0.0715783385149302,990
"RYBP_CIZ1",0.0972453184874557,1345
"RYBP_PABPN1",0.283710505386451,3924
"LBR_SUPT16H",0.477478128841009,6604
"LBR_U2AF35",0.306702335333671,4242
"LBR_U2AF65",0.218133179090449,3017
"LBR_RING1B",0.337285807244595,4665
"LBR_NXF1",0.417468006651724,5774
"LBR_HNRNPK",0.0827850480803991,1145
"LBR_MATRIN3",0.0584194924445087,808
"LBR_SPEN",0.17872894223122,2472
"LBR_HNRNPM",0.112428602414865,1555
"LBR_PTBP1",0.156893933916564,2170
"LBR_XRN2",0.253127033475526,3501
"LBR_TIA1",0.213795097968332,2957
"LBR_SFPQ",0.214879618248861,2972
"LBR_RBM15A",0.339310245101583,4693
"LBR_SAFB",0.154869496059576,2142
"LBR_YTHDC1",0.30149663798713,4170
"LBR_SRSF1",0.439809124430627,6083
"LBR_NUDT21",0.326657508495409,4518
