proset,perct,count,prev_pval,prev_adjp,rare_pval,rare_adjp,Xist,Airn,Kcnq1ot1
ALYREF_RYBP,0.354999638,4910,0,0,1,1,0,0,0
ALYREF_LBR,0.441327453,6104,0,0,1,1,1,0,0
ALYREF_SUPT16H,0.578916926,8007,0,0,1,1,1,0,0
ALYREF_U2AF35,0.327742029,4533,1.34E-14,4.91E-14,1,1,1,0,0
ALYREF_U2AF65,0.242643337,3356,7.33E-15,2.80E-14,1,1,1,0,0
ALYREF_RING1B,0.333815342,4617,0,0,1,1,0,0,0
ALYREF_NXF1,0.579712241,8018,0,0,1,1,1,0,0
ALYREF_HNRNPK,0.075482612,1044,1,1,0,0,0,0,0
ALYREF_MATRIN3,0.042585496,589,1,1,0,0,0,0,0
ALYREF_SPEN,0.160147495,2215,1,1,0,0,1,0,0
ALYREF_HNRNPM,0.085243294,1179,1,1,0,0,0,0,0
ALYREF_PTBP1,0.143084376,1979,1,1,0,0,0,0,0
ALYREF_XRN2,0.204757429,2832,0.47047003,1,0.537965787,0.930177297,0,0,0
ALYREF_TIA1,0.200274745,2770,0.893485515,1,0.110486963,0.197861857,0,0,0
ALYREF_SFPQ,0.199551732,2760,0.927683803,1,0.075302263,0.136242754,0,0,0
ALYREF_RBM15A,0.381028125,5270,0,0,1,1,1,0,0
ALYREF_SAFB,0.126021257,1743,1,1,0,0,1,0,0
ALYREF_YTHDC1,0.384064782,5312,0,0,1,1,1,0,0
ALYREF_SRSF1,0.500180753,6918,0,0,1,1,1,0,0
ALYREF_NUDT21,0.34921553,4830,5.00E-15,1.97E-14,1,1,1,0,0
ALYREF_KHDRBS1,0.091027402,1259,1,1,0,0,0,0,0
ALYREF_HNRNPU,0.043959222,608,1,1,0,0,0,0,0
ALYREF_HNRNPL,0.057118068,790,1,1,0,0,0,0,0
ALYREF_HNRNPC,0.051406261,711,1,1,0,0,1,0,0
ALYREF_CIZ1,0.087195431,1206,1,1,0,0,0,0,0
ALYREF_PABPN1,0.497939411,6887,0,0,1,1,1,0,0
RYBP_LBR,0.373074977,5160,0,0,1,1,0,0,0
RYBP_SUPT16H,0.370544429,5125,0,0,1,1,0,0,0
RYBP_U2AF35,0.298821488,4133,0,0,1,1,0,0,0
RYBP_U2AF65,0.22030222,3047,2.15E-06,5.59E-06,0.999998053,1,0,0,0
RYBP_RING1B,0.357024076,4938,0,0,1,1,1,1,1
RYBP_NXF1,0.330417179,4570,0,0,1,1,0,0,0
RYBP_HNRNPK,0.136215747,1884,1,1,0,0,1,1,0
RYBP_MATRIN3,0.077217844,1068,1,1,0,0,0,0,0
RYBP_SPEN,0.227749259,3150,8.20E-12,2.28E-11,1,1,0,0,0
RYBP_HNRNPM,0.148434676,2053,1,1,0,0,0,0,0
RYBP_PTBP1,0.125009038,1729,1,1,0,0,0,0,0
RYBP_XRN2,0.281252259,3890,0,0,1,1,0,0,0
