Id	Color
Airn_27pro_c1	"240,100,142"
Airn_27pro_c2	"85,186,71"
Airn_27pro_c3	"52,197,243"
Airn_27pro_c4	"106,104,104"
Airn_27pro_c5	"194,148,195"
Airn_27pro_c6	"244,118,42"
Airn_27pro_c7	"28,185,151"
Airn_27pro_c8	"184,152,48"
RBM15	"240,100,142"
SAFB	"240,100,142"
YTHDC1	"240,100,142"
SRSF1	"240,100,142"
NUDT21	"240,100,142"
SUPT16H	"240,100,142"
U2AF35	"240,100,142"
U2AF65	"240,100,142"
KHDRBS1	"240,100,142"
NXF1	"240,100,142"
HNRNPK	"85,186,71"
RYBP	"85,186,71"
HNRNPU	"85,186,71"
PABPN1	"85,186,71"
RING1B	"85,186,71"
HNRNPL	"85,186,71"
SPEN	"52,197,243"
HNRNPM	"52,197,243"
XRN2	"52,197,243"
TIA1	"52,197,243"
SFPQ	"52,197,243"
LBR	"106,104,104"
PTBP1	"106,104,104"
ALYREF	"194,148,195"
MATRIN3	"244,118,42"
HNRNPC	"28,185,151"
CIZ1	"184,152,48"
