Id	Color
Kot1_27pro_c1	"240,92,140"
Kot1_27pro_c2	"62,199,243"
Kot1_27pro_c3	"96,187,70"
Kot1_27pro_c4	"76,68,60"
Kot1_27pro_c5	"211,142,190"
Kot1_27pro_c6	"243,117,50"
Kot1_27pro_c7	"189,155,47"
Kot1_27pro_c8	"26,182,135"
Kot1_27pro_c9	"92,156,212"
Kot1_27pro_c10	"197,183,159"
RBM15	"240,92,140"
SAFB	"240,92,140"
YTHDC1	"240,92,140"
SRSF1	"240,92,140"
NUDT21	"240,92,140"
SUPT16H	"240,92,140"
U2AF35	"240,92,140"
NXF1	"240,92,140"
MATRIN3	"62,199,243"
SPEN	"62,199,243"
HNRNPM	"62,199,243"
U2AF65	"62,199,243"
TIA1	"62,199,243"
SFPQ	"62,199,243"
HNRNPK	"96,187,70"
HNRNPU	"96,187,70"
LBR	"96,187,70"
XRN2	"96,187,70"
HNRNPL	"96,187,70"
RYBP	"76,68,60"
RING1B	"76,68,60"
HNRNPC	"211,142,190"
ALYREF	"243,117,50"
PTBP1	"189,155,47"
KHDRBS1	"26,182,135"
CIZ1	"92,156,212"
PABPN1	"197,183,159"
