Id	Color
Xist_27pro_c1	"240,100,142"
Xist_27pro_c2	"70,183,73"
Xist_27pro_c3	"54,196,234"
Xist_27pro_c4	"94,110,105"
Xist_27pro_c5	"243,111,53"
Xist_27pro_c6	"176,153,200"
Xist_27pro_c7	"190,156,47"
RBM15	"240,100,142"
SAFB	"240,100,142"
YTHDC1	"240,100,142"
ALYREF	"240,100,142"
SPEN	"240,100,142"
HNRNPC	"240,100,142"
LBR	"240,100,142"
PABPN1	"240,100,142"
SRSF1	"240,100,142"
NUDT21	"240,100,142"
SUPT16H	"240,100,142"
U2AF35	"240,100,142"
U2AF65	"240,100,142"
NXF1	"240,100,142"
HNRNPK	"70,183,73"
RYBP	"70,183,73"
RING1B	"70,183,73"
HNRNPL	"70,183,73"
HNRNPM	"54,196,234"
XRN2	"54,196,234"
TIA1	"54,196,234"
PTBP1	"94,110,105"
CIZ1	"94,110,105"
MATRIN3	"243,111,53"
SFPQ	"243,111,53"
HNRNPU	"176,153,200"
KHDRBS1	"190,156,47"
