FileName,TotalReads
TSC_hnK_rip_S12_R1_001.fastq,36703103
TSC_rbm15a_rip_S13_R1_001.fastq,39835147
TSC_safb1_rip_S11_R1_001.fastq,34081223
bmi1_rip_mm_62tsc_S12_R1_001.fastq,32469546
bmi1_rip_rc_62tsc_S11_R1_001.fastq,30260012
cbx7_rip_mm_62tsc_S14_R1_001.fastq,37889156
cbx7_rip_rc_62tsc_S13_R1_001.fastq,36774097
epop_rip_mm_62tsc_S16_R1_001.fastq,32236096
epop_rip_rc_62tsc_S15_R1_001.fastq,31892558
rc135-6-2-tscs-high-chip-ezh2-bonasio_S8_R1_001.fastq,8995247
rc135-6-2-tscs-high-chip-mtf2_S7_R1_001.fastq,7829711
rc139-6-2-tscs-ezh2-bonasio_rip_S3_R1_001.fastq,15169123
rc139-6-2-tscs-mm-ythdc1_rip_S6_R1_001.fastq,11858822
rc139-6-2-tscs-mtf2_rip_S4_R1_001.fastq,17887163
rc139-6-2-tscs-rc-ythdc1_rip_S5_R1_001.fastq,27805537
tsc_B5_aly-ref-rip_S8_R1_001.fastq,28204199
tsc_B5_hnrnpk-rip_S10_R1_001.fastq,31933078
tsc_B5_igg_mouse-rip_S2_R1_001.fastq,25896359
tsc_B5_input-rip_S1_R1_001.fastq,32514368
tsc_B5_matrin3-rip_S14_R1_001.fastq,33571847
tsc_B5_rybp-rip_S15_R1_001.fastq,30990449
tsc_B5_safb-rip_S3_R1_001.fastq,24438671
tsc_B5_spen-rip_S13_R1_001.fastq,33575932
tsc_b12_alyref_rip_S6_R1_001.fastq,18949826
tsc_b12_hnrnpc_rip_S4_R1_001.fastq,19305846
tsc_b12_hnrnpk_rip_S7_R1_001.fastq,18618950
tsc_b12_hnrnpm_rip_S5_R1_001.fastq,20237928
tsc_b12_hnrnpu_rip_S3_R1_001.fastq,17068931
tsc_b12_igg_goat_rip_S2_R1_001.fastq,19354072
tsc_b12_igg_mouse_rip_S1_R1_001.fastq,19443765
tsc_b12_igg_rb_rip_S2_R1_001.fastq,17156616
tsc_b12_input_rip_S1_R1_001.fastq,16210158
tsc_b12_jarid2_rip_S5_R1_001.fastq,18933614
tsc_b12_lbr_rip_S7_R1_001.fastq,19744763
tsc_b12_matrin3_rip_S3_R1_001.fastq,18157284
tsc_b12_pabpn1_rip_S8_R1_001.fastq,18473481
tsc_b12_ptbp1_rip_S9_R1_001.fastq,19365578
tsc_b12_rbm15_rip_S8_R1_001.fastq,18889746
tsc_b12_rybp_rip_S12_R1_001.fastq,20101166
tsc_b12_srsf1_rip_S4_R1_001.fastq,19643790
tsc_b15_input_b1_rip_S1_R1_001.fastq,23312936
tsc_b15_input_b2_rip_S9_R1_001.fastq,22606396
tsc_b15_nudt21_b1_rip_S8_R1_001.fastq,23254834
tsc_b15_supt16h_b1_rip_S7_R1_001.fastq,24838409
tsc_b15_u2af35_b2_rip_S13_R1_001.fastq,25882181
tsc_b15_u2af65_b2_rip_S16_R1_001.fastq,21238954
tsc_b15_xrn2_b2_rip_S14_R1_001.fastq,26633748
tsc_b8_igg_goat_rip_S3_R1_001.fastq,19010895
tsc_b8_igg_rb_rip_S2_R1_001.fastq,23483246
tsc_b8_input_rip_S1_R1_001.fastq,21571343
tsc_b8_jarid2_rip_S10_R1_001.fastq,22686114
tsc_b8_ring1b_rip_S12_R1_001.fastq,21802800
tsc_b8_suz12_rip_S16_R1_001.fastq,22594829
tsc_c3_hnrnpc_rip_S10_R1_001.fastq,25819948
tsc_c3_hnrnpm_rip_S9_R1_001.fastq,26347152
tsc_c3_hnrnpu_rip_S8_R1_001.fastq,25941830
tsc_c3_input_rip_S1_R1_001.fastq,23462613
tsc_c3_lbr_rip_S4_R1_001.fastq,23777404
tsc_c3_nudt21_rip_S14_R1_001.fastq,28055068
tsc_c3_pabpn1_rip_S3_R1_001.fastq,19503068
tsc_c3_ptbp1_rip_S5_R1_001.fastq,26617160
tsc_c3_rbm15_rip_S7_R1_001.fastq,25782012
tsc_c3_srsf1_rip_S6_R1_001.fastq,25575206
tsc_c3_supt16h_rip_S13_R1_001.fastq,27073124
tsc_c3_tia1_1_rip_S15_R1_001.fastq,27773482
tsc_c3_tia1_2_rip_S16_R1_001.fastq,27385839
tsc_c3_u2af35_rip_S12_R1_001.fastq,24621964
tsc_c3_xrn2_rip_S11_R1_001.fastq,29037788
tsc_c9_ciz1_2_rip_S18_R1_001.fastq,19742091
tsc_c9_hnpnpc_rip_S15_R1_001.fastq,21360247
tsc_c9_hnrnpm_rip_S14_R1_001.fastq,24047196
tsc_c9_hnrnpu_rip_S16_R1_001.fastq,20924993
tsc_c9_input_rip_S13_R1_001.fastq,19403946
tsc_c9_spen_rip_S21_R1_001.fastq,18935142
tsc_c9_srsf1_rip_S19_R1_001.fastq,16118633
tsc_c9_u2af35_rip_S20_R1_001.fastq,25920418
tsc_d15_ciz1_rip_S1_R1_001.fastq,17837827
tsc_d15_hnrnpl_1_rip_S2_R1_001.fastq,21126617
tsc_d15_hnrnpl_2_rip_S3_R1_001.fastq,10179856
tsc_d15_khdrbs1_1_rip_S5_R1_001.fastq,19328372
tsc_d15_khdrbs1_2_rip_S6_R1_001.fastq,18144090
tsc_d15_sfpq_rip_S4_R1_001.fastq,21229427
