FileName,Sample
TSC_hnK_rip_S12_R1_001.fastq,HNRNPK
TSC_rbm15a_rip_S13_R1_001.fastq,RBM15A
TSC_safb1_rip_S11_R1_001.fastq,SAFB
bmi1_rip_mm_62tsc_S12_R1_001.fastq,BMI1
bmi1_rip_rc_62tsc_S11_R1_001.fastq,BMI1
cbx7_rip_mm_62tsc_S14_R1_001.fastq,CBX7
cbx7_rip_rc_62tsc_S13_R1_001.fastq,CBX7
epop_rip_mm_62tsc_S16_R1_001.fastq,EPOP
epop_rip_rc_62tsc_S15_R1_001.fastq,EPOP
rc135-6-2-tscs-high-chip-ezh2-bonasio_S8_R1_001.fastq,EZH2
rc135-6-2-tscs-high-chip-mtf2_S7_R1_001.fastq,MTF2
rc139-6-2-tscs-ezh2-bonasio_rip_S3_R1_001.fastq,EZH2
rc139-6-2-tscs-mm-ythdc1_rip_S6_R1_001.fastq,YTHDC1
rc139-6-2-tscs-mtf2_rip_S4_R1_001.fastq,MTF2
rc139-6-2-tscs-rc-ythdc1_rip_S5_R1_001.fastq,YTHDC1
tsc_B5_aly-ref-rip_S8_R1_001.fastq,ALYREF
tsc_B5_hnrnpk-rip_S10_R1_001.fastq,HNRNPK
tsc_B5_igg_mouse-rip_S2_R1_001.fastq,IGG
tsc_B5_input-rip_S1_R1_001.fastq,INPUT
tsc_B5_matrin3-rip_S14_R1_001.fastq,MATRIN3
tsc_B5_rybp-rip_S15_R1_001.fastq,RYBP
tsc_B5_safb-rip_S3_R1_001.fastq,SAFB
tsc_B5_spen-rip_S13_R1_001.fastq,SPEN
tsc_b12_alyref_rip_S6_R1_001.fastq,ALYREF
tsc_b12_hnrnpc_rip_S4_R1_001.fastq,HNRNPC
tsc_b12_hnrnpk_rip_S7_R1_001.fastq,HNRNPK
tsc_b12_hnrnpm_rip_S5_R1_001.fastq,HNRNPM
tsc_b12_hnrnpu_rip_S3_R1_001.fastq,HNRNPU
tsc_b12_igg_goat_rip_S2_R1_001.fastq,IGG
tsc_b12_igg_mouse_rip_S1_R1_001.fastq,IGG
tsc_b12_igg_rb_rip_S2_R1_001.fastq,IGG
tsc_b12_input_rip_S1_R1_001.fastq,INPUT
tsc_b12_jarid2_rip_S5_R1_001.fastq,JARID2
tsc_b12_lbr_rip_S7_R1_001.fastq,LBR
tsc_b12_matrin3_rip_S3_R1_001.fastq,MATRIN3
tsc_b12_pabpn1_rip_S8_R1_001.fastq,PABPN1
tsc_b12_ptbp1_rip_S9_R1_001.fastq,PTBP1
tsc_b12_rbm15_rip_S8_R1_001.fastq,RBM15A
tsc_b12_rybp_rip_S12_R1_001.fastq,RYBP
tsc_b12_srsf1_rip_S4_R1_001.fastq,SRSF1
tsc_b15_input_b1_rip_S1_R1_001.fastq,INPUT
tsc_b15_input_b2_rip_S9_R1_001.fastq,INPUT
tsc_b15_nudt21_b1_rip_S8_R1_001.fastq,NUDT21
tsc_b15_supt16h_b1_rip_S7_R1_001.fastq,SUPT16H
tsc_b15_u2af35_b2_rip_S13_R1_001.fastq,U2AF35
tsc_b15_u2af65_b2_rip_S16_R1_001.fastq,U2AF65
