Id,Label,Color
RBM15A,RBM15A,1
SAFB,SAFB,1
YTHDC1,YTHDC1,1
ALYREF,ALYREF,1
SPEN,SPEN,1
HNRNPC,HNRNPC,1
LBR,LBR,1
PABPN1,PABPN1,1
SRSF1,SRSF1,1
NUDT21,NUDT21,1
SUPT16H,SUPT16H,1
U2AF35,U2AF35,1
U2AF65,U2AF65,1
NXF1,NXF1,1
HNRNPK,HNRNPK,2
RYBP,RYBP,2
RING1B,RING1B,2
HNRNPL,HNRNPL,2
HNRNPM,HNRNPM,3
XRN2,XRN2,3
TIA1,TIA1,3
PTBP1,PTBP1,4
CIZ1,CIZ1,4
MATRIN3,MATRIN3,5
SFPQ,SFPQ,5
HNRNPU,HNRNPU,6
KHDRBS1,KHDRBS1,7
