"gene","Xist_RIP_r","Airn_RIP_r","Kcnq1ot1_RIP_r","Xist_network_r","Airn_network_r","Kcnq1ot1_network_r","total_intra","rare","prev","rare_ratio","mean_silhouette","modularity","genetype"
"0610009B22Rik_chr11_51685386_51688874_-_ENSMUSG00000007777.9_ENSMUSG00000007777.9.unspliced",0.159777141,0.120754564,0.083031936,0.310509607630116,0.211801006598514,0.181354712852496,122,24,94,0.19672131147541,0.35827636557409,0.000562957402889833,"protein_coding"
"0610009E02Rik_chr2_26445696_26459390_+_ENSMUSG00000086714.1_ENSMUSG00000086714.1.unspliced",-0.077722462,0.387294567,0.606804544,0.107321192961562,0.337567108591361,0.374619411813084,53,10,41,0.188679245283019,0.0420570114437588,-0.027546358505778,"lncRNA"
"0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUSG00000043644.4.unspliced",-0.056291369,-0.155689746,-0.012244546,-0.0013196187075087,0.229593729025941,0.193993231306508,NA,NA,NA,NA,NA,NA,"lncRNA"
"0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUST00000143813.1",0.209964787,0.155856693,0.014193182,-0.00223988764521007,0.108897481379763,0.103196063954018,NA,NA,NA,NA,NA,NA,"lncRNA"
"0610010F05Rik_chr11_23564961_23633639_-_ENSMUSG00000042208.15_ENSMUSG00000042208.15.unspliced",0.137142574,0.740662852,0.624396927,0.324781543168604,0.353281665036855,0.346335753274157,73,21,50,0.287671232876712,0.165401279202266,0.016294672138828,"protein_coding"
"0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUSG00000020831.18.unspliced",NA,NA,NA,0.0615831325622504,0.119001653339525,0.12341293266377,NA,NA,NA,NA,NA,NA,"protein_coding"
"0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUST00000100950.9",-0.103899048,-0.139583534,-0.147360608,0.0846369199746416,-0.00833259263303497,0.00715918251127016,NA,NA,NA,NA,NA,NA,"protein_coding"
"0610012D04Rik_chr17_87362239_87364462_-_ENSMUSG00000089755.1_ENSMUSG00000089755.1.unspliced",0.705663684,0.50103209,0.306193728,0.208498275414109,0.371044022668878,0.366019321413178,71,21,47,0.295774647887324,0.167148654327972,0.00819554363573236,"lncRNA"
"0610030E20Rik_chr6_72347317_72353148_+_ENSMUSG00000058706.5_ENSMUSG00000058706.5.unspliced",-0.018793301,0.693816789,0.541134539,0.0724200405653881,0.212751419520174,0.225200963831687,83,24,57,0.289156626506024,0.333215031661188,-0.0224963275018514,"protein_coding"
"0610038B21Rik_chr8_77517056_77523898_+_ENSMUSG00000097882.2_ENSMUSG00000097882.2.unspliced",0.081275394,0.750610918,0.719203357,0.185644538645294,0.250814682460256,0.260727415882884,65,28,36,0.430769230769231,0.151231158285642,-0.00677439327902488,"lncRNA"
