"target_id","length.x","Median_tpm","chrom_average","cyto_average","chrom_enrichment","alyref_rpm_less_igg","ciz1_rpm_less_igg","hnrnpc_rpm_less_igg","hnrnpk_rpm_less_igg","hnrnpl_rpm_less_igg","hnrnpm_rpm_less_igg","hnrnpu_rpm_less_igg","khdrbs1_rpm_less_igg","lbr_rpm_less_igg","matrin3_rpm_less_igg","nudt21_rpm_less_igg","nxf1_rpm_less_igg","pabpn1_rpm_less_igg","ptbp1_rpm_less_igg","rbm15_rpm_less_igg","ring1b_rpm_less_igg","rybp_rpm_less_igg","safb_rpm_less_igg","sfpq_rpm_less_igg","spen_rpm_less_igg","srsf1_rpm_less_igg","supt16h_rpm_less_igg","tia1_rpm_less_igg","u2af35_rpm_less_igg","u2af65_rpm_less_igg","xrn2_rpm_less_igg","ythdc1_rpm_less_igg"
"0610009B22Rik_chr11_51685386_51688874_-_ENSMUSG00000007777.9_ENSMUSG00000007777.9.unspliced",3489,1.76133,14.13642,1.741695,0.890308453,0.0935774,0,17.8758,4.84917,0.199016,1.00279,0,0,0,0.751137,1.76713,0.287799,0,0.394735,0,0,0,0.999808,0,0.243024,0,0,1.09826,0,0,0.793341,5.44025
"0610009E02Rik_chr2_26445696_26459390_+_ENSMUSG00000086714.1_ENSMUSG00000086714.1.unspliced",13695,0.636506,7.28949,0.2224965,0.970381137,0,0,2.2668,1.93899,0.365046,0.383338,2.71326,0,0.129819,0.302331,0,0.142051,0,0,0.270647,0.237333,0.170535,2.3791,0.24597,1.38251,0.611193,0.57131,1.26362,0.0514045,0,1.5372,0
"0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUSG00000043644.4.unspliced",2513,1.10498,5.07398,0.4927225,0.911487546,0,2.55352,0.155013,1.22959,0.476871,0.342051,0.973449,4.80428,0,0,0.461317,0.290992,0.223109,0,2.47484,0.022246,0,0,3.77029,4.42784,0,0,3.6285,0.693195,0,3.32941,0.428734
"0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUST00000143813.1",619,0.5057905,9.538875,1.2467575,0.884405713,0,-0.198962,0,0,0,0,0,-0.208725,0,0,0.132418,0.0836141,0,0,0.355009,0,0,0,-0.189397,-0.152403,0,0,-0.152403,0.229523,0.453434,-0.198962,0.402994
"0610010F05Rik_chr11_23564961_23633639_-_ENSMUSG00000042208.15_ENSMUSG00000042208.15.unspliced",68679,1.044105,13.003255,0.279722,0.978941317,0.323492,0.342132,13.3202,23.2436,31.2462,1.17625,15.261,2.67238,0.115379,15.1572,4.14269,0.889513,1.83439,17.4611,0,0.337382,0.683454,18.0492,0.294626,1.21063,3.73775,1.06633,6.76996,7.11694,18.2488,3.49383,21.6959
"0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUSG00000020831.18.unspliced",2709,2.10588,15.12255,1.837575,0.891653216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUST00000100950.9",545,0.435873361,1.31593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192635,0,0,0,0,0
"0610012D04Rik_chr17_87362239_87364462_-_ENSMUSG00000089755.1_ENSMUSG00000089755.1.unspliced",2224,2.172385,10.638435,1.134412,0.903641659,0,0.527941,0,0,0,0,0,0,0,0,2.8871,1.58106,3.08581,0,0,0,0,9.82836,0,0,0,0,0.558332,0,0,0,47.656
"0610030E20Rik_chr6_72347317_72353148_+_ENSMUSG00000058706.5_ENSMUSG00000058706.5.unspliced",5832,2.994445,17.36305,1.77191,0.907399336,0,0,0,0.57177,3.46015,0,1.55771,0,0,0,0,0,0,0.398613,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610038B21Rik_chr8_77517056_77523898_+_ENSMUSG00000097882.2_ENSMUSG00000097882.2.unspliced",6843,1.078545,12.3225,0.4409805,0.965449824,0,0,0.556939,1.01458,4.90699,0.0680097,4.36716,0.370323,0.22402,0,0,0.257044,0.561104,1.48662,0,0,0.21076,0.721365,0.173796,0.141735,0.0521412,0,1.01792,0,0.185021,0,0.689554
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUSG00000089889.2.unspliced",3458,1.07991,10.23061,0.8014,0.927356846,-0.0265905,0,0.537717,0,0.62163,0,0.23115,0,0,0,0,0,0.0812457,0.195246,0.490741,0,0,0.0920726,0.120219,0.0795993,0,0,0.0781005,1.00004,0.6085,-0.0346453,0.0728276
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUST00000198455.1",1643,0.8104305,7.6175744,0.962414,0.887830384,0.190864,0,0.457922,0,0,0,0.444177,0,0,0,0,0,0.519314,2.92333,0,0.123553,0,0,0.0931044,0,0.0991323,0.379017,0.866416,0.481108,1.64458,0.703851,0
"0610040F04Rik_chr6_108577039_108660934_-_ENSMUSG00000087341.4_ENSMUSG00000087341.4.unspliced",83896,0.0825447,0.6773955,0.0912494,0.881285363,0,0,0.55944,2.24789,0.97799,0.122157,0.87177,-0.00808485,0.107172,0.0307167,-0.00804488,1.81762,2.86118,0.292334,0,0.145799,0,3.40351,0.23745,-0.00804214,0.0986948,0,2.20506,0.158122,0.126529,0.356314,13.9455
"0610040J01Rik_chr5_63812363_63899625_+_ENSMUSG00000060512.7_ENSMUSG00000060512.7.unspliced",87263,0.9233205,15.02765,0.1677045,0.988963436,0,0,8.3901,32.5992,33.3741,5.50935,48.9282,5.54981,0.913418,28.9813,3.26539,3.50037,6.23813,7.64454,1.57077,2.74863,1.58995,30.2219,7.81302,25.9037,1.94974,2.99696,20.0616,1.09708,2.59927,7.81546,0.232715
