target_id,xist_rval,airn_rval,ot1_rval
0610009B22Rik_chr11_51685386_51688874_-_ENSMUSG00000007777.9_ENSMUSG00000007777.9.unspliced,0.159777141,0.120754564,0.083031936
0610009E02Rik_chr2_26445696_26459390_+_ENSMUSG00000086714.1_ENSMUSG00000086714.1.unspliced,-0.077722462,0.387294567,0.606804544
0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUSG00000043644.4.unspliced,-0.056291369,-0.155689746,-0.012244546
0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUST00000143813.1,0.209964787,0.155856693,0.014193182
0610010F05Rik_chr11_23564961_23633639_-_ENSMUSG00000042208.15_ENSMUSG00000042208.15.unspliced,0.137142574,0.740662852,0.624396927
0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUSG00000020831.18.unspliced,NA,NA,NA
0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUST00000100950.9,-0.103899048,-0.139583534,-0.147360608
0610012D04Rik_chr17_87362239_87364462_-_ENSMUSG00000089755.1_ENSMUSG00000089755.1.unspliced,0.705663684,0.50103209,0.306193728
0610030E20Rik_chr6_72347317_72353148_+_ENSMUSG00000058706.5_ENSMUSG00000058706.5.unspliced,-0.018793301,0.693816789,0.541134539
0610038B21Rik_chr8_77517056_77523898_+_ENSMUSG00000097882.2_ENSMUSG00000097882.2.unspliced,0.081275394,0.750610918,0.719203357
0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUSG00000089889.2.unspliced,-0.135447755,0.098290227,0.024067079
0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUST00000198455.1,-0.112618704,-0.184266044,-0.138676077
0610040F04Rik_chr6_108577039_108660934_-_ENSMUSG00000087341.4_ENSMUSG00000087341.4.unspliced,0.658335425,0.573024311,0.389251117
0610040J01Rik_chr5_63812363_63899625_+_ENSMUSG00000060512.7_ENSMUSG00000060512.7.unspliced,-0.113721598,0.617180297,0.843177275
0610043K17Rik_chr4_101353783_101399181_+_ENSMUSG00000087361.7_ENSMUSG00000087361.7.unspliced,0.094095202,0.36786028,0.515007236
1110002J07Rik_chr10_66912489_66920258_-_ENSMUSG00000097134.2_ENSMUSG00000097134.2.unspliced,0.185509771,0.153309971,0.100208969
1110002L01Rik_chr12_3403878_3427011_-_ENSMUSG00000071456.6_ENSMUSG00000071456.6.unspliced,0.384541719,0.904047218,0.878297487
1110003F10Rik_chr5_65405751_65406517_+_ENSMUSG00000106291.1_ENSMUST00000199441.1.monoexonic.unspliced,NA,NA,NA
1110004F10Rik_chr7_116039397_116105210_+_ENSMUSG00000030663.12_ENSMUSG00000030663.12.unspliced,0.06684742,0.413558346,0.633341429
1110008P14Rik_chr2_32377097_32381938_-_ENSMUSG00000039195.4_ENSMUSG00000039195.4.unspliced,0.06010752,0.264194415,0.254925254
1110012L19Rik_chrX_70385877_70389417_+_ENSMUSG00000045237.5_ENSMUSG00000045237.5.unspliced,-0.038638253,0.307304574,0.366200659
1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUSG00000097616.7.unspliced,-0.069157943,0.114873244,0.378924915
1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUST00000181225.1,0.067960396,0.20659344,0.072984727
1110025M09Rik_chr15_81584174_81585028_-_ENSMUSG00000103520.1_ENSMUST00000192082.1.monoexonic.unspliced,-0.085789566,0.202659753,0.207967401
1110032A03Rik_chr9_50762828_50775520_-_ENSMUSG00000037971.10_ENSMUSG00000037971.10.unspliced,0.494919327,0.569748241,0.42071646
1110035H17Rik_chr7_29155680_29156920_+_ENSMUSG00000099098.4_ENSMUST00000205672.1,NA,NA,NA
1110038B12Rik_chr17_34950238_34952471_-_ENSMUSG00000092203.7_ENSMUSG00000092203.7.unspliced,-0.110547016,-0.100130436,-0.091456928
1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUSG00000063236.6.unspliced,-0.049593847,-0.113172384,-0.135418965
1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUST00000229229.1,-0.150133013,-0.147884064,-0.129436965
1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUSG00000085457.3.unspliced,0.072873423,0.237393286,0.441900175
1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUST00000180906.1,0.275172299,0.650389949,0.769214253
1110051M20Rik_chr2_91275068_91444704_-_ENSMUSG00000040591.18_ENSMUSG00000040591.18.unspliced,-0.013681106,0.646643958,0.738920437
