"genes","total_intra","rare","prev","rare_ratio"
"0610009B22Rik_chr11_51685386_51688874_-_ENSMUSG00000007777.9_ENSMUSG00000007777.9.unspliced",122,24,94,0.19672131147541
"0610009E02Rik_chr2_26445696_26459390_+_ENSMUSG00000086714.1_ENSMUSG00000086714.1.unspliced",53,10,41,0.188679245283019
"0610010F05Rik_chr11_23564961_23633639_-_ENSMUSG00000042208.15_ENSMUSG00000042208.15.unspliced",73,21,50,0.287671232876712
"0610012D04Rik_chr17_87362239_87364462_-_ENSMUSG00000089755.1_ENSMUSG00000089755.1.unspliced",71,21,47,0.295774647887324
"0610030E20Rik_chr6_72347317_72353148_+_ENSMUSG00000058706.5_ENSMUSG00000058706.5.unspliced",83,24,57,0.289156626506024
"0610038B21Rik_chr8_77517056_77523898_+_ENSMUSG00000097882.2_ENSMUSG00000097882.2.unspliced",65,28,36,0.430769230769231
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUSG00000089889.2.unspliced",59,21,36,0.35593220338983
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUST00000198455.1",79,35,42,0.443037974683544
"0610040F04Rik_chr6_108577039_108660934_-_ENSMUSG00000087341.4_ENSMUSG00000087341.4.unspliced",105,26,71,0.247619047619048
"0610040J01Rik_chr5_63812363_63899625_+_ENSMUSG00000060512.7_ENSMUSG00000060512.7.unspliced",46,1,43,0.0217391304347826
"0610043K17Rik_chr4_101353783_101399181_+_ENSMUSG00000087361.7_ENSMUSG00000087361.7.unspliced",61,23,37,0.377049180327869
"1110002L01Rik_chr12_3403878_3427011_-_ENSMUSG00000071456.6_ENSMUSG00000071456.6.unspliced",125,32,83,0.256
"1110004F10Rik_chr7_116039397_116105210_+_ENSMUSG00000030663.12_ENSMUSG00000030663.12.unspliced",71,25,40,0.352112676056338
"1110008P14Rik_chr2_32377097_32381938_-_ENSMUSG00000039195.4_ENSMUSG00000039195.4.unspliced",79,15,59,0.189873417721519
"1110012L19Rik_chrX_70385877_70389417_+_ENSMUSG00000045237.5_ENSMUSG00000045237.5.unspliced",76,36,36,0.473684210526316
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUSG00000097616.7.unspliced",82,25,53,0.304878048780488
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUST00000181225.1",64,18,39,0.28125
"1110032A03Rik_chr9_50762828_50775520_-_ENSMUSG00000037971.10_ENSMUSG00000037971.10.unspliced",88,35,47,0.397727272727273
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUSG00000085457.3.unspliced",77,34,42,0.441558441558442
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUST00000180906.1",77,45,32,0.584415584415584
"1110051M20Rik_chr2_91275068_91444704_-_ENSMUSG00000040591.18_ENSMUSG00000040591.18.unspliced",78,28,47,0.358974358974359
"1110059E24Rik_chr19_21581202_21652976_-_ENSMUSG00000035171.9_ENSMUSG00000035171.9.unspliced",65,13,49,0.2
"1110059G10Rik_chr9_122945089_122951000_-_ENSMUSG00000032551.7_ENSMUSG00000032551.7.unspliced",99,26,66,0.262626262626263
